Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,MSL,ASW,LWK,ESN,GWD,ACB,YRI,synthetic_percentage,samples_and_percentage,model_name,accuracy,f1_score
113.0,113.0,,0.3437,0.2128,0.5918,0.3143,0.5591,0.3288,0.2759,0.5,"528
50%",NN,0.3984962406015037,0.3752010548036893
114.0,114.0,,0.2892,0.1818,0.5688,0.4444,0.4571,0.2712,0.3226,0.6,"633
60%",NN,0.3796992481203007,0.3621623621714722
115.0,115.0,,0.2769,0.2083,0.56,0.35,0.4681,0.2571,0.2133,0.7,"739
70%",NN,0.3571428571428571,0.33340252958794
116.0,116.0,,0.2414,0.0889,0.5454,0.3235,0.4938,0.2368,0.2766,0.8,"844
80%",NN,0.3458646616541353,0.3152167381272576
117.0,117.0,,0.3077,0.2449,0.5714,0.3662,0.4938,0.2817,0.3093,1.0,"1056
100%",NN,0.3834586466165413,0.3678588104653579
118.0,118.0,,0.2553,0.16,0.5818,0.421,0.4576,0.3014,0.2338,0.1,"105
10%",NN,0.3796992481203007,0.344421882536757
119.0,119.0,,0.0,0.2295,0.3125,0.1622,0.4071,0.4197,0.2754,0.2,"211
20%",NN,0.2969924812030075,0.2580522014516436
120.0,120.0,,0.2388,0.2593,0.5981,0.3951,0.4598,0.3614,0.2641,0.3,"316
30%",NN,0.3947368421052631,0.3680892343423365
121.0,121.0,,0.2857,0.25,0.5055,0.3284,0.5349,0.3437,0.283,0.4,"422
40%",NN,0.3721804511278195,0.3616027984312538
122.0,122.0,,0.2647,0.0,0.5714,0.3823,0.2857,0.2993,0.1695,0.5,"528
50%",NN,0.3195488721804511,0.2818589905695934
123.0,123.0,,0.1481,0.2857,0.5714,0.4179,0.4078,0.2273,0.2917,0.6,"633
60%",NN,0.3721804511278195,0.3357011196118365
124.0,124.0,,0.2667,0.1739,0.5778,0.3099,0.4412,0.3038,0.2913,0.7,"739
70%",NN,0.3496240601503759,0.3377789596738969
125.0,125.0,,0.3243,0.2593,0.549,0.3548,0.4615,0.2941,0.2979,0.8,"844
80%",NN,0.3759398496240601,0.3629957643038509
126.0,126.0,,0.2,0.2449,0.5833,0.3457,0.425,0.2857,0.2697,1.0,"1056
100%",NN,0.3533834586466165,0.336326787417898
127.0,127.0,,0.4058,0.093,0.5333,0.3291,0.4419,0.2778,0.2796,0.1,"105
10%",NN,0.3571428571428571,0.3372108214306242
128.0,128.0,,0.1205,0.1026,0.3902,0.0,0.303,0.1818,0.3,0.2,"211
20%",NN,0.2406015037593984,0.1997340596517793
129.0,129.0,,0.25,0.2264,0.562,0.4138,0.4421,0.3667,0.2963,0.3,"316
30%",NN,0.3909774436090225,0.365322842140448
130.0,130.0,,0.3636,0.2174,0.6105,0.3836,0.5227,0.3038,0.2823,0.4,"422
40%",NN,0.4022556390977443,0.3834276156953504
131.0,131.0,,0.3014,0.087,0.4773,0.4225,0.5122,0.303,0.2192,0.5,"528
50%",NN,0.3496240601503759,0.3317911186380665
132.0,132.0,,0.1967,0.2,0.5714,0.2985,0.4348,0.338,0.2796,0.6,"633
60%",NN,0.3533834586466165,0.3312911451104861
133.0,133.0,,0.2769,0.16,0.5275,0.3158,0.3902,0.2143,0.25,0.7,"739
70%",NN,0.3195488721804511,0.3049592421149362
134.0,134.0,,0.2623,0.1277,0.5625,0.3333,0.4565,0.2857,0.321,0.8,"844
80%",NN,0.3609022556390977,0.3355730955620485
135.0,135.0,,0.2034,0.1923,0.5567,0.3467,0.4554,0.2456,0.2637,1.0,"1056
100%",NN,0.3496240601503759,0.3234087233984438
136.0,136.0,,0.3014,0.0513,0.4,0.3467,0.3366,0.0541,0.2677,0.1,"105
10%",NN,0.2857142857142857,0.2511032619736968
137.0,137.0,,0.275,0.2143,0.5536,0.3429,0.28,0.2222,0.2609,0.2,"211
20%",NN,0.3270676691729323,0.3069722961648427
138.0,138.0,,0.1818,0.2128,0.5918,0.3288,0.5,0.2667,0.2727,0.3,"316
30%",NN,0.3646616541353383,0.336368848091497
139.0,139.0,,0.2857,0.1818,0.54,0.2857,0.475,0.2769,0.2683,0.4,"422
40%",NN,0.3496240601503759,0.3304946447280942
140.0,140.0,,0.3243,0.1702,0.6122,0.338,0.475,0.2295,0.3366,0.5,"528
50%",NN,0.3796992481203007,0.3551360024775267
141.0,141.0,,0.2785,0.1333,0.5714,0.3171,0.4884,0.2258,0.2759,0.6,"633
60%",NN,0.3496240601503759,0.3271938145362166
142.0,142.0,,0.3333,0.093,0.587,0.3291,0.5161,0.2571,0.3132,0.7,"739
70%",NN,0.3759398496240601,0.346993133769452
143.0,143.0,,0.3188,0.1739,0.5743,0.3429,0.4731,0.2687,0.3488,0.8,"844
80%",NN,0.3834586466165413,0.3572114852968931
144.0,144.0,,0.3125,0.0889,0.5714,0.3944,0.5106,0.2727,0.3448,1.0,"1056
100%",NN,0.3909774436090225,0.3564824020438669
145.0,145.0,,0.25,0.08,0.5036,0.4396,0.3582,0.3544,0.0,0.1,"105
10%",NN,0.3458646616541353,0.2836852709761877
146.0,146.0,,0.2187,0.2128,0.5161,0.3188,0.4632,0.1818,0.2569,0.2,"211
20%",NN,0.3308270676691729,0.3097631971307137
147.0,147.0,,0.32,0.2909,0.5714,0.2889,0.4267,0.3492,0.2368,0.3,"316
30%",NN,0.3646616541353383,0.3548488103375322
148.0,148.0,,0.32,0.1778,0.5849,0.375,0.506,0.3333,0.2299,0.4,"422
40%",NN,0.3834586466165413,0.360989417906468
149.0,149.0,,0.2581,0.28,0.5545,0.3896,0.439,0.3235,0.3043,0.5,"528
50%",NN,0.3796992481203007,0.3641474256256488
150.0,150.0,,0.2899,0.1364,0.5979,0.4167,0.4944,0.3014,0.2954,0.6,"633
60%",NN,0.3872180451127819,0.3617185643948745
151.0,151.0,,0.1224,0.0,0.5405,0.3951,0.3373,0.3091,0.2581,0.7,"739
70%",NN,0.3308270676691729,0.2803651530482488
